INFO  - 2014-02-14 10:35:22.532; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^500+VITEK^400+VT^300+1253^200+B^100+model:132556.0^1000&wt=ruby&rows=5} hits=6199 status=0 QTime=8 
INFO  - 2014-02-14 10:35:22.542; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZANUSSI^300+ZDB^200+1600^100+model:130608.0^1000&wt=ruby&rows=5} hits=1095 status=0 QTime=2 
INFO  - 2014-02-14 10:35:22.554; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^500+ZANUSSI^400+ZDB^300+1600^200+акція^100+model:139161.0^1000&wt=ruby&rows=5} hits=1095 status=0 QTime=3 
INFO  - 2014-02-14 10:35:22.644; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZANUSSI^300+ZDB^200+1650^100+model:131893.0^1000&wt=ruby&rows=5} hits=588 status=0 QTime=2 
INFO  - 2014-02-14 10:35:22.654; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZANUSSI^300+ZDB^200+1670^100+model:128904.0^1000&wt=ruby&rows=5} hits=552 status=0 QTime=2 
INFO  - 2014-02-14 10:35:22.664; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZANUSSI^300+ZDB^200+1680^100+model:128905.0^1000&wt=ruby&rows=5} hits=568 status=0 QTime=2 
INFO  - 2014-02-14 10:35:22.677; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZELMER^300+28Z016^200+Pink^100+model:121937.0^1000&wt=ruby&rows=5} hits=1390 status=0 QTime=3 
INFO  - 2014-02-14 10:35:22.736; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZELMER^300+28Z019^200+Turquoise^100+model:98366.0^1000&wt=ruby&rows=5} hits=1108 status=0 QTime=3 
INFO  - 2014-02-14 10:35:22.750; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZELMER^300+28Z020^200+Blue^100+model:98368.0^1000&wt=ruby&rows=5} hits=1701 status=0 QTime=4 
INFO  - 2014-02-14 10:35:22.760; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZELMER^300+28Z021^200+Pink^100+model:107831.0^1000&wt=ruby&rows=5} hits=1390 status=0 QTime=4 
INFO  - 2014-02-14 10:35:22.855; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZELMER^300+28Z022^200+Beige^100+model:107832.0^1000&wt=ruby&rows=5} hits=1124 status=0 QTime=3 
INFO  - 2014-02-14 10:35:22.889; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZELMER^300+28Z025^200+Graphite^100+model:107833.0^1000&wt=ruby&rows=5} hits=1126 status=0 QTime=3 
INFO  - 2014-02-14 10:35:22.900; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Праска^400+ZELMER^300+28Z030^200+Mint^100+model:108667.0^1000&wt=ruby&rows=5} hits=1109 status=0 QTime=2 
INFO  - 2014-02-14 10:35:22.913; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Прасувальна^500+система^400+PHILIPS^300+GC^200+6530\/02^100+model:132011.0^1000&wt=ruby&rows=5} hits=2182 status=0 QTime=4 
INFO  - 2014-02-14 10:35:22.927; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Прасувальна^500+система^400+PHILIPS^300+GC^200+8620\/02^100+model:139199.0^1000&wt=ruby&rows=5} hits=2182 status=0 QTime=4 
INFO  - 2014-02-14 10:35:22.958; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Прасувальна^500+система^400+PHILIPS^300+GC^200+9231\/02^100+model:140572.0^1000&wt=ruby&rows=5} hits=2182 status=0 QTime=4 
INFO  - 2014-02-14 10:35:22.973; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+MAXWELL^300+MW^200+2103^100+model:126795.0^1000&wt=ruby&rows=5} hits=4286 status=0 QTime=5 
INFO  - 2014-02-14 10:35:22.984; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+MAXWELL^400+MW^300+2104^200+BK^100+model:126796.0^1000&wt=ruby&rows=5} hits=4750 status=0 QTime=4 
INFO  - 2014-02-14 10:35:23.047; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+MAXWELL^400+MW^300+2105^200+SR^100+model:130455.0^1000&wt=ruby&rows=5} hits=4556 status=0 QTime=6 
INFO  - 2014-02-14 10:35:23.106; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^800+для^700+стрижки^600+PHILIPS^500+NT^400+9130\/16^300+д\/носа,^200+вух^100+model:130155.0^1000&wt=ruby&rows=5} hits=5241 status=0 QTime=8 
INFO  - 2014-02-14 10:35:23.121; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+PHILIPS^300+QC^200+5010\/00^100+model:43009.0^1000&wt=ruby&rows=5} hits=5157 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.137; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+PHILIPS^300+QC^200+5115\/15^100+model:103953.0^1000&wt=ruby&rows=5} hits=5157 status=0 QTime=6 
INFO  - 2014-02-14 10:35:23.154; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+PHILIPS^300+QC^200+5120\/15^100+model:103954.0^1000&wt=ruby&rows=5} hits=5158 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.172; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+PHILIPS^300+QC^200+5130\/15^100+model:102347.0^1000&wt=ruby&rows=5} hits=5157 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.188; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+PHILIPS^300+QC^200+5360\/15^100+model:131313.0^1000&wt=ruby&rows=5} hits=5157 status=0 QTime=7 
INFO  - 2014-02-14 10:35:23.199; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+PHILIPS^300+QC^200+5370\/15^100+model:129007.0^1000&wt=ruby&rows=5} hits=5157 status=0 QTime=3 
INFO  - 2014-02-14 10:35:23.270; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^600+для^500+стрижки^400+PHILIPS^300+QC^200+5390\/15^100+model:129006.0^1000&wt=ruby&rows=5} hits=5157 status=0 QTime=6 
INFO  - 2014-02-14 10:35:23.305; org.apache.solr.core.SolrCore; [mapper_development] webapp=/solr path=/select params={q=title:Машинка^700+для^600+стрижки^500+PHILIPS^400+QG^300+3340\/16^200+д\/бороди^100+model:135464.0^1000&wt=ruby&rows=5} hits=5082 status=0 QTime=6 
